Carimbo de data/hora,Em qual período você ingressou na Universidade?,Selecione abaixo as disciplinas que você já cursou ou está cursando atualmente,Você participou de projeto de disciplina em grupo no regime presencial?,Você participou em projeto de disciplina em grupo no regime remoto?,Qual foi a quantidade de membros do maior projeto em grupo que você participou em disciplinas da Universidade?,"Conflitos sobre prioridades do projeto, ou seja, sobre quais atividades e tarefas devem ser executadas e em que sequência.","Conflitos sobre gerenciamento, ou seja, sobre a definição da hierarquia, das responsabilidades, do plano de execução, do procedimento de comunicação de atividades, etc.","Conflitos sobre questões técnicas, ou seja, sobre quais tecnologias, algoritmos e otimizações utilizar.","Conflito sobre prazos, ou seja, sobre a duração e data de entrega de tarefas do projeto.","Conflitos sobre personalidades, ou seja, centrados nas diferenças interpessoais do grupo.",Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [1º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [2º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [3º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [4º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [5º],"Confronto (Confrontation): reconhecendo que a discordância existe e considerando os requisitos, debater para escolher a solução que mais está de acordo.","Negociação (Give and Take): reconhecendo que a discordância existe, produzir uma solução combinando partes das propostas dos membros envolvidos.","Evasão (Withdrawal): ignorar o problema ou reconhecer que ele existe, mas considerar que não vale o esforço da resolução.","Apaziguamento (Smoothing): reconhecendo que a discordância existe, escolher a solução daqueles mais envolvidos com a tarefa.","Imposição (Forcing): reconhecendo que a discordância existe, um membro de maior hierarquia (ex. gerente) impõe a solução.",Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [1º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [2º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [3º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [4º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [5º]
10/08/2021 12:29:21,2016.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,2,2,2,2,2,Prazos,Prioridades,Gerenciamento,Questões técnicas,Personalidade,5,5,1,5,1,Negociação,Apaziguamento,Confronto,Evasão,Imposição
10/08/2021 12:31:56,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Não,10,1,4,1,1,3,Gerenciamento,Prioridades,Personalidade,Questões técnicas,Prazos,5,1,3,4,1,Negociação,Apaziguamento,Confronto,Evasão,Imposição
10/08/2021 12:33:55,2020.1,"Projeto em Computação I (P1), Projeto em Computação II (P2)",Não,Não,0,2,4,3,5,3,Prioridades,Gerenciamento,Personalidade,Prazos,Questões técnicas,4,3,1,4,2,Confronto,Apaziguamento,Negociação,Evasão,Imposição
10/08/2021 12:58:28,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,8,2,1,1,1,1,Prazos,Personalidade,Questões técnicas,Prioridades,Gerenciamento,4,4,1,4,1,Negociação,Confronto,Apaziguamento,Evasão,Imposição
10/08/2021 13:07:56,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,2,4,3,4,4,Gerenciamento,Prazos,Questões técnicas,Prioridades,Personalidade,5,4,2,2,2,Negociação,Confronto,Apaziguamento,Imposição,Evasão
10/08/2021 13:15:29,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,6,1,3,2,2,3,Personalidade,Gerenciamento,Questões técnicas,Prazos,Prioridades,5,2,2,3,2,Confronto,Apaziguamento,Negociação,Imposição,Evasão
10/08/2021 14:04:02,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,10,5,5,4,4,5,Personalidade,Gerenciamento,Questões técnicas,Prazos,Prioridades,5,3,1,1,1,Negociação,Apaziguamento,Evasão,Confronto,Imposição
10/08/2021 14:31:50,2020.1,Laboratório de Programação II (LP2),Não,Sim,5,1,2,3,2,1,Questões técnicas,Gerenciamento,Prioridades,Personalidade,Prazos,5,5,1,3,1,Negociação,Confronto,Imposição,Apaziguamento,Evasão
10/08/2021 14:38:30,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,3,3,3,4,2,Gerenciamento,Prazos,Prioridades,Questões técnicas,Personalidade,4,4,3,5,2,Apaziguamento,Negociação,Confronto,Evasão,Imposição
10/08/2021 15:00:19,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Não,6,1,1,1,2,4,Personalidade,Gerenciamento,Prioridades,Prazos,Questões técnicas,5,4,1,2,2,Confronto,Negociação,Imposição,Apaziguamento,Evasão
