Carimbo de data/hora,Em qual período você ingressou na Universidade?,Selecione abaixo as disciplinas que você já cursou ou está cursando atualmente,Você participou de projeto de disciplina em grupo no regime presencial?,Você participou em projeto de disciplina em grupo no regime remoto?,Qual foi a quantidade de membros do maior projeto em grupo que você participou em disciplinas da Universidade?,"Conflitos sobre prioridades do projeto, ou seja, sobre quais atividades e tarefas devem ser executadas e em que sequência.","Conflitos sobre gerenciamento, ou seja, sobre a definição da hierarquia, das responsabilidades, do plano de execução, do procedimento de comunicação de atividades, etc.","Conflitos sobre questões técnicas, ou seja, sobre quais tecnologias, algoritmos e otimizações utilizar.","Conflito sobre prazos, ou seja, sobre a duração e data de entrega de tarefas do projeto.","Conflitos sobre personalidades, ou seja, centrados nas diferenças interpessoais do grupo.",Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [1º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [2º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [3º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [4º],Ordene os fatores/fontes de conflitos por seu impacto no sucesso do projeto [5º],"Confronto (Confrontation): reconhecendo que a discordância existe e considerando os requisitos, debater para escolher a solução que mais está de acordo.","Negociação (Give and Take): reconhecendo que a discordância existe, produzir uma solução combinando partes das propostas dos membros envolvidos.","Evasão (Withdrawal): ignorar o problema ou reconhecer que ele existe, mas considerar que não vale o esforço da resolução.","Apaziguamento (Smoothing): reconhecendo que a discordância existe, escolher a solução daqueles mais envolvidos com a tarefa.","Imposição (Forcing): reconhecendo que a discordância existe, um membro de maior hierarquia (ex. gerente) impõe a solução.",Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [1º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [2º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [3º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [4º],Ordene os métodos de gerenciamento por seu nível de efetividade na resolução de conflitos [5º]
09/08/2021 18:54:55,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,2,1,4,3,4,Personalidade,Prioridades,Prazos,Gerenciamento,Questões técnicas,4,4,1,2,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
09/08/2021 19:01:49,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,2,4,1,4,1,Gerenciamento,Prioridades,Prazos,Personalidade,Questões técnicas,5,2,4,4,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
09/08/2021 19:04:55,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1)",Sim,Sim,6,2,4,1,4,2,Prazos,Gerenciamento,Personalidade,Questões técnicas,Prioridades,2,5,5,5,1,Negociação,Apaziguamento,Confronto,Imposição,Evasão
09/08/2021 19:06:41,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,13,3,4,5,4,5,Questões técnicas,Gerenciamento,Prazos,Personalidade,Prioridades,1,4,5,1,5,Imposição,Evasão,Negociação,Apaziguamento,Confronto
09/08/2021 19:08:13,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,5,3,2,2,3,1,Prioridades,Prazos,Gerenciamento,Personalidade,Questões técnicas,3,5,1,4,1,Negociação,Apaziguamento,Confronto,Evasão,Imposição
09/08/2021 19:09:12,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,3,4,2,1,4,Gerenciamento,Questões técnicas,Prioridades,Prazos,Personalidade,5,4,1,2,1,Negociação,Evasão,Confronto,Apaziguamento,Imposição
09/08/2021 19:09:34,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,5,5,3,2,3,1,Prioridades,Questões técnicas,Gerenciamento,Prazos,Personalidade,3,4,1,4,2,Negociação,Apaziguamento,Confronto,Imposição,Evasão
09/08/2021 19:19:09,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,3,3,4,4,4,Personalidade,Prazos,Questões técnicas,Gerenciamento,Prioridades,4,4,2,5,1,Apaziguamento,Confronto,Negociação,Evasão,Imposição
09/08/2021 19:27:32,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,14,2,1,3,5,2,Questões técnicas,Prazos,Gerenciamento,Prioridades,Personalidade,2,4,3,4,2,Negociação,Apaziguamento,Imposição,Evasão,Confronto
09/08/2021 19:46:38,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,4,4,4,3,5,Personalidade,Gerenciamento,Prazos,Prioridades,Questões técnicas,4,4,2,3,4,Negociação,Confronto,Imposição,Apaziguamento,Evasão
09/08/2021 19:47:28,2019.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP)",Sim,Sim,5,1,2,1,5,5,Personalidade,Prazos,Gerenciamento,Prioridades,Questões técnicas,1,1,5,1,1,Evasão,Apaziguamento,Negociação,Imposição,Confronto
09/08/2021 19:55:28,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Não,8,2,3,1,2,1,Gerenciamento,Prioridades,Questões técnicas,Prazos,Personalidade,3,5,2,4,1,Negociação,Confronto,Apaziguamento,Evasão,Imposição
09/08/2021 19:55:56,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,12,2,4,2,3,3,Gerenciamento,Prazos,Personalidade,Prioridades,Questões técnicas,3,3,1,4,3,Negociação,Apaziguamento,Confronto,Imposição,Evasão
09/08/2021 20:04:11,2018.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP)",Sim,Sim,5,2,4,3,5,5,Prazos,Personalidade,Gerenciamento,Prioridades,Questões técnicas,2,2,4,2,1,Imposição,Evasão,Negociação,Apaziguamento,Confronto
09/08/2021 20:19:45,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,8,4,2,4,4,3,Prioridades,Prazos,Personalidade,Gerenciamento,Questões técnicas,5,2,4,3,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
09/08/2021 20:29:11,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,10,5,5,2,3,5,Gerenciamento,Personalidade,Questões técnicas,Prioridades,Prazos,4,2,4,5,5,Imposição,Confronto,Apaziguamento,Negociação,Evasão
09/08/2021 20:45:45,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,13,2,3,2,3,2,Prazos,Gerenciamento,Prioridades,Personalidade,Questões técnicas,2,3,2,3,1,Negociação,Apaziguamento,Confronto,Evasão,Imposição
09/08/2021 20:49:19,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP)",Sim,Sim,5,1,1,4,5,1,Prazos,Gerenciamento,Prioridades,Questões técnicas,Personalidade,3,5,1,1,2,Confronto,Negociação,Evasão,Apaziguamento,Imposição
09/08/2021 21:09:44,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,11,3,2,2,5,2,Prazos,Prioridades,Gerenciamento,Questões técnicas,Personalidade,3,5,5,5,5,Negociação,Confronto,Apaziguamento,Imposição,Evasão
09/08/2021 21:34:17,2017.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1)",Sim,Sim,8,2,2,1,3,2,Gerenciamento,Prioridades,Prazos,Questões técnicas,Personalidade,3,4,1,2,2,Negociação,Confronto,Apaziguamento,Imposição,Evasão
09/08/2021 21:58:03,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,15,2,2,2,5,2,Personalidade,Prazos,Prioridades,Gerenciamento,Questões técnicas,2,3,3,5,5,Confronto,Imposição,Negociação,Evasão,Apaziguamento
09/08/2021 22:09:48,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,11,3,3,1,4,1,Prazos,Gerenciamento,Prioridades,Questões técnicas,Personalidade,5,4,4,5,2,Negociação,Apaziguamento,Evasão,Confronto,Imposição
09/08/2021 22:28:56,Anterior ou igual a 2015.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,6,1,1,1,2,5,Prioridades,Personalidade,Questões técnicas,Gerenciamento,Prazos,5,3,3,5,1,Negociação,Apaziguamento,Evasão,Confronto,Imposição
10/08/2021 00:14:44,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,3,1,3,4,2,Prazos,Questões técnicas,Prioridades,Gerenciamento,Personalidade,1,3,2,4,5,Imposição,Negociação,Confronto,Apaziguamento,Evasão
10/08/2021 10:39:20,2017.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,8,3,5,3,3,3,Prioridades,Gerenciamento,Questões técnicas,Prazos,Personalidade,3,3,3,3,3,Confronto,Negociação,Evasão,Apaziguamento,Imposição
10/08/2021 10:49:55,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,10,2,2,3,3,1,Gerenciamento,Prazos,Prioridades,Questões técnicas,Personalidade,4,4,3,5,4,Negociação,Confronto,Imposição,Apaziguamento,Evasão
10/08/2021 11:10:31,2018.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,3,4,3,3,3,Prazos,Gerenciamento,Prioridades,Questões técnicas,Personalidade,5,3,2,2,3,Negociação,Confronto,Apaziguamento,Evasão,Imposição
10/08/2021 11:12:52,2019.2,"Laboratório de Programação II (LP2), Paradigmas de Linguagens Programação (PLP)",Não,Sim,5,3,1,1,3,1,Prioridades,Prazos,Gerenciamento,Questões técnicas,Personalidade,5,5,1,3,1,Confronto,Negociação,Apaziguamento,Evasão,Imposição
10/08/2021 11:20:10,2016.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1), Projeto em Computação II (P2)",Sim,Sim,10,2,4,2,5,4,Prazos,Personalidade,Prioridades,Questões técnicas,Gerenciamento,3,4,2,4,4,Negociação,Apaziguamento,Imposição,Confronto,Evasão
10/08/2021 11:20:13,2016.2,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES), Projeto em Computação I (P1)",Sim,Sim,12,1,3,3,5,5,Prazos,Personalidade,Questões técnicas,Gerenciamento,Prioridades,1,1,3,5,4,Apaziguamento,Imposição,Evasão,Negociação,Confronto
10/08/2021 11:20:15,2019.1,"Laboratório de Programação II (LP2), Projeto de Software (PSOFT), Paradigmas de Linguagens Programação (PLP), Engenharia de Software (ES)",Sim,Sim,12,2,3,2,3,4,Personalidade,Prioridades,Gerenciamento,Prazos,Questões técnicas,5,5,1,4,1,Negociação,Confronto,Apaziguamento,Imposição,Evasão
